SMILES	name	PUBCHEM_COMPOUND_CID	PUBCHEM_COMPOUND_CANONICALIZED	PUBCHEM_CACTVS_COMPLEXITY	PUBCHEM_CACTVS_HBOND_ACCEPTOR	PUBCHEM_CACTVS_HBOND_DONOR	PUBCHEM_CACTVS_ROTATABLE_BOND	PUBCHEM_CACTVS_SUBSKEYS	PUBCHEM_IUPAC_OPENEYE_NAME	PUBCHEM_IUPAC_CAS_NAME	PUBCHEM_IUPAC_NAME	PUBCHEM_IUPAC_SYSTEMATIC_NAME	PUBCHEM_IUPAC_TRADITIONAL_NAME	PUBCHEM_IUPAC_INCHI	PUBCHEM_IUPAC_INCHIKEY	PUBCHEM_XLOGP3	PUBCHEM_EXACT_MASS	PUBCHEM_MOLECULAR_FORMULA	PUBCHEM_MOLECULAR_WEIGHT	PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_OPENEYE_ISO_SMILES	PUBCHEM_CACTVS_TPSA	PUBCHEM_MONOISOTOPIC_WEIGHT	PUBCHEM_TOTAL_CHARGE	PUBCHEM_HEAVY_ATOM_COUNT	PUBCHEM_ATOM_DEF_STEREO_COUNT	PUBCHEM_ATOM_UDEF_STEREO_COUNT	PUBCHEM_BOND_DEF_STEREO_COUNT	PUBCHEM_BOND_UDEF_STEREO_COUNT	PUBCHEM_ISOTOPIC_ATOM_COUNT	PUBCHEM_COMPONENT_COUNT	PUBCHEM_CACTVS_TAUTO_COUNT	PUBCHEM_COORDINATE_TYPE	PUBCHEM_BONDANNOTATIONS
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	985	985	1	178	2	1	14	AAADcfB4MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACACAgAACCAAAAgAIAACQCAAAAAAAAAAAAAEAAAAAABIAAAAAQAAEAAAAAAGIyKCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==	"palmitic acid"	"hexadecanoic acid"	"hexadecanoic acid"	"hexadecanoic acid"	"palmitic acid"	InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)	IPCSVZSSVZVIGE-UHFFFAOYSA-N	6.4	256.24	C16H32O2	256.43	CCCCCCCCCCCCCCCC(=O)O	CCCCCCCCCCCCCCCC(=O)O	37.3	256.24	0	18	0	1	0	0	0	1	-1	"1\n5\n255"	"14  41  3"
[H]C1=NC([H])=C([H])C([H])=C1[H]	1049	1049	1	30.9	1	0	0	AAADcYBiAAAAAAAAAAAAAAAAAAAAAAAAAAAsAAAAAAAAAAABgAAAHAAAAAAACADBEgQ8gJIIEACgADBnRACCgCAxAiAI2CA4ZJgIIOLAkZGEIAhggADIyAYQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==	pyridine	pyridine	pyridine	pyridine	pyridine	InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H	JUJWROOIHBZHMG-UHFFFAOYSA-N	0.7	79.042	C5H5N	79.102	C1=CC=NC=C1	C1=CC=NC=C1	12.9	79.042	0	6	0	0	0	0	0	1	-1	"1\n5\n255"	"1  5  8\n1  6  8\n2  3  8\n2  4  8\n3  5  8\n4  6  8"
[H]OC1=C(C([H])=C(C([H])=C1C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])[N+]([O-])=O)[N+]([O-])=O	6950	6950	1	298	5	1	2	AAADccBzOAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHgAECAAADQyBmAAyxoAQQgCBAiRCQwCCAAAgIgAgiAAFbIoKJiKS0dOAcABkwFEI2AewwOAOgEAAQAQIEAAAgACACBAgAAAAAAAAAA==	2,4-dinitro-6-~{sec}-butyl-phenol	2-butan-2-yl-4,6-dinitrophenol	2-butan-2-yl-4,6-dinitrophenol	2-butan-2-yl-4,6-dinitro-phenol	2,4-dinitro-6-~{sec}-butyl-phenol	InChI=1S/C10H12N2O5/c1-3-6(2)8-4-7(11(14)15)5-9(10(8)13)12(16)17/h4-6,13H,3H2,1-2H3	OWZPCEFYPSAJFR-UHFFFAOYSA-N	3.6	240.075	C10H12N2O5	240.215	CCC(C)C1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-]	CCC(C)C1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-]	112	240.075	0	17	0	1	0	0	0	1	-1	"1\n5\n255"	"12  15  8\n13  16  8\n15  17  8\n16  17  8\n8  18  3\n9  12  8\n9  13  8"	
[H]C1=C([H])C(=C(C([H])=C1[N+]([O-])=O)[N+]([O-])=O)C([H])([H])[H]	8461	8461	1	220	4	0	0	AAADcYBjOAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHAAEAAAADAiBGAAywIAQQACBAiRCQwCCAAAgAgAoiAAAZIoIICKA0dGAIABggAAIyAcQgAAOCAAAAAQCAAAQAAAACAQAAAAAAAAAAA==	1-methyl-2,4-dinitro-benzene	1-methyl-2,4-dinitrobenzene	1-methyl-2,4-dinitrobenzene	1-methyl-2,4-dinitro-benzene	1-methyl-2,4-dinitro-benzene	InChI=1S/C7H6N2O4/c1-5-2-3-6(8(10)11)4-7(5)9(12)13/h2-4H,1H3	RMBFBMJGBANMMK-UHFFFAOYSA-N	2	182.033	C7H6N2O4	182.135	CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]	CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]	91.6	182.033	0	13	0	0	0	0	0	1	1	"1\n5\n255"	"10  12  8\n11  12  8\n7  11  8\n7  8  8\n8  9  8\n9  10  8"	
[H]OC1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	8814	8814	1	192	1	1	3	AAADceBwIAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADgSAmAAyBoAAAgCAAiBCAAACAAAgIAAIiAAGCIgIJiKCERKAcAAkwBEImAeAwPAPoAAAAAAAAABAAAAAAAAAAAAAAAAAAA==	4-(1,1,3,3-tetramethylbutyl)phenol	4-(2,4,4-trimethylpentan-2-yl)phenol	4-(2,4,4-trimethylpentan-2-yl)phenol	4-(2,4,4-trimethylpentan-2-yl)phenol	4-(1,1,3,3-tetramethylbutyl)phenol	InChI=1S/C14H22O/c1-13(2,3)10-14(4,5)11-6-8-12(15)9-7-11/h6-9,15H,10H2,1-5H3	ISAVYTVYFVQUDY-UHFFFAOYSA-N	5	206.167	C14H22O	206.329	CC(C)(C)CC(C)(C)C1=CC=C(C=C1)O	CC(C)(C)CC(C)(C)C1=CC=C(C=C1)O	20.2	206.167	0	15	0	0	0	0	0	1	-1	"1\n5\n255"	"11  13  8\n12  14  8\n13  15  8\n14  15  8\n5  11  8\n5  12  8"	
[H]OC(=O)C([H])([H])C([H])([H])C([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])[C@]4([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]	9903	9903	1	574	3	2	4	AAADcfB4MAAAAAAAAAAAAAAAAAAAAYAAAAAwYMAAAAAAAGDAAAAAGgAACAAADxSggAICCAAAAgAIAACQCAAAAAAAAAAAAAEAAAAAEBIAAAAAQAAEAAAAAAGIyPCPgAAAAAAAAADAAAYAACAAAQAACAAAAA==	"(4~{R})-4-[(3~{R},5~{R},8~{R},9~{S},10~{S},13~{R},14~{S},17~{R})-3-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1~{H}-cyclopenta[a]phenanthren-17-yl]pentanoic acid"	"(4~{R})-4-[(3~{R},5~{R},8~{R},9~{S},10~{S},13~{R},14~{S},17~{R})-3-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1~{H}-cyclopenta[a]phenanthren-17-yl]pentanoic acid"	"(4~{R})-4-[(3~{R},5~{R},8~{R},9~{S},10~{S},13~{R},14~{S},17~{R})-3-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1~{H}-cyclopenta[a]phenanthren-17-yl]pentanoic acid"	"(4~{R})-4-[(3~{R},5~{R},8~{R},9~{S},10~{S},13~{R},14~{S},17~{R})-10,13-dimethyl-3-oxidanyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1~{H}-cyclopenta[a]phenanthren-17-yl]pentanoic acid"	"(4~{R})-4-[(3~{R},5~{R},8~{R},9~{S},10~{S},13~{R},14~{S},17~{R})-3-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1~{H}-cyclopenta[a]phenanthren-17-yl]valeric acid"	InChI=1S/C24H40O3/c1-15(4-9-22(26)27)19-7-8-20-18-6-5-16-14-17(25)10-12-23(16,2)21(18)11-13-24(19,20)3/h15-21,25H,4-14H2,1-3H3,(H,26,27)/t15-,16-,17-,18+,19-,20+,21+,23+,24-/m1/s1	SMEROWZSTRWXGI-HVATVPOCSA-N		376.298	C24H40O3	376.581	CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C	57.5	376.298	0	27	9	0	0	0	0	1	2	"1\n5\n255"	"23  1  6\n11  34  5\n19  25  6\n4  18  5\n5  28  6\n6  29  5\n7  30  6\n8  21  5\n9  31  6"	6.3
[Na+].[H]C1=C([H])C2=C(C([H])=C1OS([O-])(=O)=O)C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])C(=O)[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H]	9919	9919	1	611	5	0	1	AAADceB4OCBAAAAAAAAAAAAAAAAAAYAAAAAwYMAAAAAAAGDBAAAAGgAAAAAADwSAmAAyBoAAAACIAqBSADACAAAgIAAIiAEGCIgIJjKAERKAMAAkwBEIiAeIyPCPoAABAAAQAADAAAYAACAAAAAACAAAAA==	"sodium;[(8~{R},9~{S},13~{S},14~{S})-13-methyl-17-oxo-7,8,9,11,12,14,15,16-octahydro-6~{H}-cyclopenta[a]phenanthren-3-yl] sulfate"	"sodium;[(8~{R},9~{S},13~{S},14~{S})-13-methyl-17-oxo-7,8,9,11,12,14,15,16-octahydro-6~{H}-cyclopenta[a]phenanthren-3-yl] sulfate"	"sodium;[(8~{R},9~{S},13~{S},14~{S})-13-methyl-17-oxo-7,8,9,11,12,14,15,16-octahydro-6~{H}-cyclopenta[a]phenanthren-3-yl] sulfate"	"sodium;[(8~{R},9~{S},13~{S},14~{S})-13-methyl-17-oxidanylidene-7,8,9,11,12,14,15,16-octahydro-6~{H}-cyclopenta[a]phenanthren-3-yl] sulfate"	"sodium;[(8~{R},9~{S},13~{S},14~{S})-17-keto-13-methyl-7,8,9,11,12,14,15,16-octahydro-6~{H}-cyclopenta[a]phenanthren-3-yl] sulfate"	InChI=1S/C18H22O5S.Na/c1-18-9-8-14-13-5-3-12(23-24(20,21)22)10-11(13)2-4-15(14)16(18)6-7-17(18)19;/h3,5,10,14-16H,2,4,6-9H2,1H3,(H,20,21,22);/q;+1/p-1/t14-,15-,16+,18+;/m1./s1	VUCAHVBMSFIGAI-ZFINNJDLSA-M		372.101	C18H21NaO5S	372.411	CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)[O-].[Na+]	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)[O-].[Na+]	91.9	372.101	0	25	4	0	0	0	0	2	-1	"1\n5\n255"	"10  27  5\n11  28  6\n19  21  8\n19  22  8\n21  23  8\n22  24  8\n23  25  8\n24  25  8\n8  26  6\n9  18  5"	
[H]O[C@@]1(C#C[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4([H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])C([H])([H])[H]	13109	13109	1	609	2	1	2	AAADceB4MAAAAAAAAAAAAAAAAAAAAYAAAAAwYIAAAAAAAGDAAAAAGgAACAAAD0SAgAACAAAAAgDIGqBSAAgAAAAgAAAACAEAAEgAABIAAQAAQAAEgAAIAQOIyPCPgAAAAAAAAACAAAQAACAAAYAADAAAAA==	(8~{R},9~{S},10~{R},13~{S},14~{S},17~{R})-13-ethyl-17-ethynyl-17-hydroxy-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one	(8~{R},9~{S},10~{R},13~{S},14~{S},17~{R})-13-ethyl-17-ethynyl-17-hydroxy-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one	(8~{R},9~{S},10~{R},13~{S},14~{S},17~{R})-13-ethyl-17-ethynyl-17-hydroxy-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one	(8~{R},9~{S},10~{R},13~{S},14~{S},17~{R})-13-ethyl-17-ethynyl-17-oxidanyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one	(8~{R},9~{S},10~{R},13~{S},14~{S},17~{R})-13-ethyl-17-ethynyl-17-hydroxy-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one	InChI=1S/C21H28O2/c1-3-20-11-9-17-16-8-6-15(22)13-14(16)5-7-18(17)19(20)10-12-21(20,23)4-2/h2,13,16-19,23H,3,5-12H2,1H3/t16-,17+,18+,19-,20-,21-/m0/s1	WWYNJERNGUHSAO-XUDSTZEESA-N	3.3	312.209	C21H28O2	312.453	CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34	CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34	37.3	312.209	0	23	6	0	0	0	0	1	-1	"1\n5\n255"	"7  1  5\n11  33  5\n3  14  5\n4  24  6\n5  25  5\n6  26  6"	
[H]O[C@]1([H])C([H])([H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])[C@@]([H])(C#N)[C@]([H])(C(=O)C([H])([H])[H])[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H]	15032	15032	1	673	3	1	1	AAADceB6MAAAAAAAAAAAAAAAAAAAAYAAAAAwYIAAAAAAAGCAAAAAHgAACAAADxShgAICAAAAAgCYBqBSAAAAAAAgAAAACAEAAAgAkBIAAQAAQAAEwAAIAAuIyPCPgAAAAAAAAADAAAQAACAAAQAACAAAAA==	(3~{S},8~{S},9~{S},10~{R},13~{S},14~{S},16~{R},17~{S})-17-acetyl-3-hydroxy-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1~{H}-cyclopenta[a]phenanthrene-16-carbonitrile	(3~{S},8~{S},9~{S},10~{R},13~{S},14~{S},16~{R},17~{S})-17-acetyl-3-hydroxy-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1~{H}-cyclopenta[a]phenanthrene-16-carbonitrile	(3~{S},8~{S},9~{S},10~{R},13~{S},14~{S},16~{R},17~{S})-17-acetyl-3-hydroxy-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1~{H}-cyclopenta[a]phenanthrene-16-carbonitrile	(3~{S},8~{S},9~{S},10~{R},13~{S},14~{S},16~{R},17~{S})-17-ethanoyl-10,13-dimethyl-3-oxidanyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1~{H}-cyclopenta[a]phenanthrene-16-carbonitrile	(3~{S},8~{S},9~{S},10~{R},13~{S},14~{S},16~{R},17~{S})-17-acetyl-3-hydroxy-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1~{H}-cyclopenta[a]phenanthrene-16-carbonitrile	InChI=1S/C22H31NO2/c1-13(24)20-14(12-23)10-19-17-5-4-15-11-16(25)6-8-21(15,2)18(17)7-9-22(19,20)3/h4,14,16-20,25H,5-11H2,1-3H3/t14-,16-,17+,18-,19-,20-,21-,22-/m0/s1	VSBHRRMYCDQLJF-ZDNYCOCVSA-N	3.4	341.235	C22H31NO2	341.495	CC(=O)C1C(CC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C#N	CC(=O)[C@H]1[C@@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C#N	61.1	341.235	0	25	8	0	0	0	0	1	3	"1\n5\n255"	"13  24  6\n23  2  5\n4  16  5\n5  26  6\n6  27  5\n7  28  6\n8  19  5\n9  21  5"	
[H]N([H])C(=O)C1=C([H])C([H])=NC([H])=C1[H]	15074	15074	1	108	2	1	1	AAADcYBjIAAAAAAAAAAAAAAAAAAAAAAAAAAsAAAAAAAAAAABgAAAHgAQAAAADADBmgQ8gJJIEACoAjF3VACCgCA1AiAI2CE4ZNgIIHLAlZGEIQhggADIyYYUAAAKAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==	pyridine-4-carboxamide	4-pyridinecarboxamide	pyridine-4-carboxamide	pyridine-4-carboxamide	isonicotinamide	InChI=1S/C6H6N2O/c7-6(9)5-1-3-8-4-2-5/h1-4H,(H2,7,9)	VFQXVTODMYMSMJ-UHFFFAOYSA-N	-0.3	122.048	C6H6N2O	122.127	C1=CN=CC=C1C(=O)N	C1=CN=CC=C1C(=O)N	56	122.048	0	9	0	0	0	0	0	1	2	"1\n5\n255"	"2  8  8\n2  9  8\n4  5  8\n4  6  8\n5  8  8\n6  9  8"	
[H]O[C@@]1(C#C[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C5=C(C([H])=NO5)C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]	28417	28417	1	677	3	1	1	AAADceB6MAAAAAAAAAAAAAAAAAAAAeIAAAAwYIAAAAAAAGDBgAAAHgAECAAAD0TBmgQuhJAQAgDpGrB3QgiCAAAkIAAgmCEkTFoIJBqAkYKAUIBmgAgIyceYyPCPgAAAAAAAAACAAAQAACAAAYAADAAAAA==	(1~{S},2~{R},13~{R},14~{S},17~{R},18~{S})-17-ethynyl-2,18-dimethyl-7-oxa-6-azapentacyclo[11.7.0.0^{2,10}.0^{4,8}.0^{14,18}]icosa-4(8),5,9-trien-17-ol	(1~{S},2~{R},13~{R},14~{S},17~{R},18~{S})-17-ethynyl-2,18-dimethyl-7-oxa-6-azapentacyclo[11.7.0.0^{2,10}.0^{4,8}.0^{14,18}]eicosa-4(8),5,9-trien-17-ol	(1~{S},2~{R},13~{R},14~{S},17~{R},18~{S})-17-ethynyl-2,18-dimethyl-7-oxa-6-azapentacyclo[11.7.0.0^{2,10}.0^{4,8}.0^{14,18}]icosa-4(8),5,9-trien-17-ol	(1~{S},2~{R},13~{R},14~{S},17~{R},18~{S})-17-ethynyl-2,18-dimethyl-7-oxa-6-azapentacyclo[11.7.0.0^{2,10}.0^{4,8}.0^{14,18}]icosa-4(8),5,9-trien-17-ol	(1~{S},2~{R},13~{R},14~{S},17~{R},18~{S})-17-ethynyl-2,18-dimethyl-7-oxa-6-azapentacyclo[11.7.0.0^{2,10}.0^{4,8}.0^{14,18}]eicosa-4(8),5,9-trien-17-ol	InChI=1S/C22H27NO2/c1-4-22(24)10-8-18-16-6-5-15-11-19-14(13-23-25-19)12-20(15,2)17(16)7-9-21(18,22)3/h1,11,13,16-18,24H,5-10,12H2,2-3H3/t16-,17+,18+,20+,21+,22+/m1/s1	POZRVZJJTULAOH-LHZXLZLDSA-N		337.204	C22H27NO2	337.463	CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5	46.3	337.204	0	25	6	0	0	0	0	1	-1	"1\n5\n255"	"10  1  6\n2  23  8\n2  3  8\n22  23  8\n22  24  8\n3  24  8\n4  26  5\n5  16  6\n6  27  6\n7  28  5\n8  19  6"	3.8
[H]OC([H])([H])[C@@]1([H])N([H])C([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]	29435	29435	1	132	5	5	1	AAADccBiOAAAAAAAAAAAAAAAAAAAAAAAAAAsAAAAAAAAAAAAAAAAHgAQCAAACDzhgAYAAALAAgAAAAAAAAAAAAAAAAAAAIAIAAADEAIAgAAEQAAHEACRAAHwYAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==	(2~{R},3~{R},4~{R},5~{S})-2-(hydroxymethyl)piperidine-3,4,5-triol	(2~{R},3~{R},4~{R},5~{S})-2-(hydroxymethyl)piperidine-3,4,5-triol	(2~{R},3~{R},4~{R},5~{S})-2-(hydroxymethyl)piperidine-3,4,5-triol	(2~{R},3~{R},4~{R},5~{S})-2-(hydroxymethyl)piperidine-3,4,5-triol	(2~{R},3~{R},4~{R},5~{S})-2-methylolpiperidine-3,4,5-triol	InChI=1S/C6H13NO4/c8-2-3-5(10)6(11)4(9)1-7-3/h3-11H,1-2H2/t3-,4+,5-,6-/m1/s1	LXBIFEVIBLOUGU-JGWLITMVSA-N		163.084	C6H13NO4	163.173	C1C(C(C(C(N1)CO)O)O)O	C1[C@@H]([C@H]([C@@H]([C@H](N1)CO)O)O)O	93	163.084	0	11	4	0	0	0	0	1	1	"1\n5\n255"	"6  1  6\n8  2  5\n9  3  6\n7  11  5"	-2.3
[H]OC1=C2C(=C(O[H])C3=C1C(=O)C1=C(C3=O)C(OC([H])([H])[H])=C([H])C([H])=C1[H])[C@@]([H])(O[C@]1([H])O[C@@]([H])(C([H])([H])[H])[C@@]([H])(O[H])[C@@]([H])(N([H])[H])C1([H])[H])C([H])([H])[C@](O[H])(C(=O)C([H])([H])O[H])C2([H])[H]	31703	31703	1	977	12	6	5	AAADceB6PAAAAAAAAAAAAAAAAAAAAAAAAAA0YMGCAAAAAADBQAAAHgAQCAAADHzxmAcyDoBABgCIAqBSAAICCAAkIAAIiIFGCMgfNzaGtRqicWAn8BEPuYfL7PzOwQADAAAYAADCAAYQADAAAAAAAAAAAA==	(7~{S},9~{S})-7-[(2~{R},4~{S},5~{S},6~{S})-4-amino-5-hydroxy-6-methyl-tetrahydropyran-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7~{H}-tetracene-5,12-dione	(7~{S},9~{S})-7-[[(2~{R},4~{S},5~{S},6~{S})-4-amino-5-hydroxy-6-methyl-2-oxanyl]oxy]-6,9,11-trihydroxy-9-(2-hydroxy-1-oxoethyl)-4-methoxy-8,10-dihydro-7~{H}-tetracene-5,12-dione	(7~{S},9~{S})-7-[(2~{R},4~{S},5~{S},6~{S})-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7~{H}-tetracene-5,12-dione	(7~{S},9~{S})-7-[(2~{R},4~{S},5~{S},6~{S})-4-azanyl-6-methyl-5-oxidanyl-oxan-2-yl]oxy-4-methoxy-6,9,11-tris(oxidanyl)-9-(2-oxidanylethanoyl)-8,10-dihydro-7~{H}-tetracene-5,12-dione	(7~{S},9~{S})-7-[(2~{R},4~{S},5~{S},6~{S})-4-amino-5-hydroxy-6-methyl-tetrahydropyran-2-yl]oxy-9-glycoloyl-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7~{H}-tetracene-5,12-quinone	InChI=1S/C27H29NO11/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3/t10-,13-,15-,17-,22+,27-/m0/s1	AOJJSUZBOXZQNB-TZSSRYMLSA-N	1.3	543.174	C27H29NO11	543.525	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O	C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O	206	543.174	0	39	6	0	0	0	0	1	-1	"1\n5\n255"	"13  1  6\n19  1  5\n21  12  6\n17  18  8\n17  24  8\n18  26  8\n23  29  6\n24  27  8\n26  28  8\n27  28  8\n14  3  6\n33  34  8\n33  35  8\n34  36  8\n35  37  8\n36  38  8\n37  38  8\n22  4  6"	
