CID,TID,score,score_note,score_type,error
1989,"O60762",,"","","no valid path was found"
1989,"O60779",,"","","no valid path was found"
1989,"O60840",,"","","no valid path was found"
1989,"O60883",,"","","no valid path was found"
1989,"O60885",,"","","no valid path was found"
1989,"O60894",,"","","no valid path was found"
1989,"O60895",,"","","no valid path was found"
1989,"O60906",,"","","no valid path was found"
1989,"O60911",,"","",""
1989,"O60930",,"","","no valid path was found"
1989,"O60939",,"","",""
1989,"O75015",,"","","no valid path was found"
1989,"O75038",,"","","target was not found"
1989,"O75106",,"","","no valid path was found"
1989,"O75116",,"","",""
1989,"O75164",,"","","no valid path was found"
1989,"O75173",,"","","no valid path was found"
1989,"O75306",,"","","no valid path was found"
1989,"O75311",,"","","no valid path was found"
1989,"O75343",,"","","target was not found"
1989,"O75355",,"","",""
1989,"O75365",,"","","no valid path was found"
1989,"O75385",,"","","no valid path was found"
1989,"O75387",,"","","no valid path was found"
1989,"O75414",,"","","no valid path was found"
1989,"O75417",,"","","target was not found"
1989,"O75419",,"","",""
1989,"O75460",,"","","no valid path was found"
1989,"O75469",,"","",""
1989,"O75493",,"","","no valid path was found"
1989,"O75578",,"","","target was not found"
1989,"O75582",,"","",""
1989,"O75676",,"","","target was not found"
1989,"O75688",,"","","no valid path was found"
1989,"O75716",,"","",""
1989,"O75747",,"","",""
1989,"O75762",,"","",""
1989,"O75795",,"","","no valid path was found"
1989,"O75815",,"","","no valid path was found"
1989,"O75828",,"","","no valid path was found"
1989,"O75884",,"","","target was not found"
1989,"O75899",,"","","no valid path was found"
1989,"O75907",,"","",""
1989,"O75908",,"","",""
1989,"O75914",,"","","no valid path was found"
1989,"O75956",,"","","no valid path was found"
1989,"O76021",,"","","no valid path was found"
1989,"O76039",,"","","no valid path was found"
1989,"O76062",,"","","no valid path was found"
1989,"O76074",,"","",""
1989,"O76083",,"","",""
1989,"O94760",,"","",""
1989,"O94766",,"","","no valid path was found"
1989,"O94768",,"","","no valid path was found"
1989,"O94777",,"","","no valid path was found"
1989,"O94804",,"","",""
1989,"O94806",,"","",""
1989,"O94907",,"","",""
1989,"O94921",,"","","no valid path was found"
1989,"O95045",,"","","no valid path was found"
1989,"O95050",,"","","no valid path was found"
1989,"O95067",,"","","no valid path was found"
1989,"O95136",,"","","no valid path was found"
1989,"O95139",,"","","target was not found"
1989,"O95163",,"","","no valid path was found"
1989,"O95180",,"","","no valid path was found"
1989,"O95237",,"","","no valid path was found"
1989,"O95239",,"","","no valid path was found"
1989,"O95259",,"","",""
1989,"O95263",,"","","no valid path was found"
1989,"O95264",,"","","target was not found"
1989,"O95267",,"","","target was not found"
1989,"O95271",,"","","no valid path was found"
1989,"O95299",,"","","no valid path was found"
1989,"O95342",,"","",""
1989,"O95363",,"","",""
1989,"O95382",,"","","target was not found"
1989,"O95399",,"","","no valid path was found"
1989,"O95456",,"","","target was not found"
1989,"O95544",,"","","no valid path was found"
1989,"O95622",,"","","no valid path was found"
1989,"O95644",,"","","no valid path was found"
1989,"O95665",,"","","target was not found"
1989,"O95718",,"","","no valid path was found"
1989,"O95747",,"","","no valid path was found"
1989,"O95749",,"","","no valid path was found"
1989,"O95819",,"","","no valid path was found"
1989,"O95822",,"","",""
1989,"O95835",,"","",""
1989,"O95838",,"","","target was not found"
1989,"O95864",,"","","target was not found"
1989,"O95870",,"","","target was not found"
1989,"O95977",,"","","no valid path was found"
1989,"O95985",,"","","no valid path was found"
1989,"O96013",,"","",""
1989,"O96017",,"","",""
1989,"O96020",,"","",""
1989,"P00167",,"","","no valid path was found"
1989,"P00325",,"","",""
1989,"P00326",,"","",""
1989,"P00338",,"","",""
1989,"P00352",,"","",""
1989,"P00374",,"","","target was not found"
1989,"P00387",,"","","no valid path was found"
1989,"P00390",,"","","target was not found"
1989,"P00395",,"","","target was not found"
1989,"P00403",,"","","target was not found"
1989,"P00439",,"","",""
1989,"P00441",,"","",""
1989,"P00451",,"","","no valid path was found"
1989,"P00480",,"","",""
1989,"P00488",,"","","no valid path was found"
1989,"P00491",,"","","target was not found"
1989,"P00492",,"","",""
1989,"P00519",,"","",""
1989,"P00533",,"","",""
1989,"P00540",,"","","no valid path was found"
1989,"P00558",,"","",""
1989,"P00568",,"","",""
1989,"P00734",,"","",""
1989,"P00736",,"","","target was not found"
1989,"P00740",,"","",""
1989,"P00742",,"","",""
1989,"P00747",,"","","no valid path was found"
1989,"P00748",,"","","no valid path was found"
1989,"P00749",,"","",""
1989,"P00750",,"","",""
1989,"P00751",,"","","no valid path was found"
1989,"P00790",,"","","target was not found"
1989,"P00797",,"","",""
1989,"P00813",,"","",""
1989,"P00915",,"","",""
1989,"P00918",,"","",""
1989,"P01008",,"","",""
1989,"P01011",,"","",""
1989,"P01024",,"","",""
1989,"P01100",,"","","no valid path was found"
1989,"P01112",,"","",""
1989,"P01130",,"","",""
1989,"P01133",,"","","target was not found"
1989,"P01213",,"","",""
1989,"P01275",,"","","no valid path was found"
1989,"P01282",,"","","no valid path was found"
1989,"P01308",,"","",""
1989,"P01374",,"","","no valid path was found"
1989,"P01375",,"","",""
1989,"P01588",,"","","no valid path was found"
1989,"P01589",,"","",""
1989,"P01730",,"","",""
1989,"P01854",,"","","target was not found"
1989,"P02452",,"","","no valid path was found"
1989,"P02647",,"","","target was not found"
1989,"P02671",,"","",""
1989,"P02675",,"","",""
1989,"P02679",,"","","no valid path was found"
1989,"P02708",,"","","target was not found"
1989,"P02724",,"","","no valid path was found"
1989,"P02743",,"","","no valid path was found"
1989,"P02749",,"","","no valid path was found"
1989,"P02751",,"","",""
1989,"P02753",,"","","no valid path was found"
1989,"P02763",,"","","no valid path was found"
1989,"P02766",,"","",""
1989,"P02768",,"","",""
1989,"P02774",,"","","no valid path was found"
1989,"P02787",,"","",""
1989,"P03372",,"","","no valid path was found"
1989,"P03886",,"","","target was not found"
1989,"P03891",,"","","target was not found"
1989,"P03897",,"","","target was not found"
1989,"P03901",,"","","target was not found"
1989,"P03905",,"","","target was not found"
1989,"P03915",,"","","target was not found"
1989,"P03923",,"","","target was not found"
1989,"P03950",,"","","no valid path was found"
1989,"P03951",,"","","no valid path was found"
1989,"P03952",,"","","no valid path was found"
1989,"P03956",,"","",""
1989,"P04004",,"","",""
1989,"P04035",,"","","target was not found"
1989,"P04049",,"","",""
1989,"P04053",,"","","no valid path was found"
1989,"P04054",,"","",""
1989,"P04062",,"","","no valid path was found"
1989,"P04066",,"","","no valid path was found"
1989,"P04070",,"","",""
1989,"P04075",,"","","target was not found"
1989,"P04114",,"","","target was not found"
1989,"P04150",,"","",""
1989,"P04156",,"","",""
1989,"P04180",,"","","no valid path was found"
1989,"P04181",,"","","no valid path was found"
1989,"P04183",,"","",""
1989,"P04229",,"","","no valid path was found"
1989,"P04233",,"","",""
1989,"P04271",,"","","no valid path was found"
1989,"P04278",,"","",""
1989,"P04350",,"","","no valid path was found"
1989,"P04406",,"","",""
1989,"P04439",,"","","no valid path was found"
1989,"P04626",,"","",""
1989,"P04629",,"","",""
1989,"P04632",,"","","no valid path was found"
1989,"P04637",,"","",""
1989,"P04745",,"","","no valid path was found"
1989,"P04746",,"","","no valid path was found"
1989,"P04792",,"","",""
1989,"P04798",,"","",""
1989,"P04818",,"","",""
1989,"P05023",,"","",""
1989,"P05026",,"","",""
1989,"P05067",,"","",""
1989,"P05089",,"","",""
1989,"P05091",,"","",""
1989,"P05093",,"","",""
1989,"P05106",,"","",""
1989,"P05107",,"","",""
1989,"P05108",,"","","no valid path was found"
1989,"P05113",,"","",""
1989,"P05121",,"","",""
1989,"P05129",,"","",""
1989,"P05162",,"","","target was not found"
1989,"P05164",,"","",""
1989,"P05177",,"","",""
1989,"P05181",,"","","no valid path was found"
1989,"P05186",,"","",""
1989,"P05187",,"","","no valid path was found"
1989,"P05230",,"","","no valid path was found"
1989,"P05362",,"","",""
1989,"P05412",,"","","no valid path was found"
1989,"P05413",,"","","no valid path was found"
1989,"P05423",,"","",""
1989,"P05543",,"","","no valid path was found"
1989,"P05556",,"","","no valid path was found"
1989,"P05771",,"","",""
1989,"P06133",,"","","no valid path was found"
1989,"P06213",,"","",""
1989,"P06239",,"","",""
1989,"P06241",,"","",""
1989,"P06276",,"","",""
1989,"P06280",,"","","no valid path was found"
1989,"P06400",,"","",""
1989,"P06401",,"","",""
1989,"P06493",,"","","no valid path was found"
1989,"P06729",,"","","no valid path was found"
1989,"P06730",,"","",""
1989,"P06732",,"","",""
1989,"P06733",,"","",""
1989,"P06734",,"","","no valid path was found"
1989,"P06737",,"","",""
1989,"P06746",,"","","no valid path was found"
1989,"P06748",,"","",""
1989,"P06756",,"","","no valid path was found"
1989,"P06858",,"","",""
1989,"P06870",,"","","no valid path was found"
1989,"P06881",,"","","no valid path was found"
1989,"P07098",,"","",""
1989,"P07099",,"","",""
1989,"P07101",,"","",""
1989,"P07148",,"","","target was not found"
1989,"P07195",,"","",""
1989,"P07202",,"","","no valid path was found"
1989,"P07205",,"","","no valid path was found"
1989,"P07237",,"","",""
1989,"P07288",,"","",""
1989,"P07306",,"","","no valid path was found"
1989,"P07307",,"","","no valid path was found"
1989,"P07327",,"","",""
1989,"P07332",,"","",""
1989,"P07333",,"","",""
1989,"P07339",,"","",""
1989,"P07384",,"","","no valid path was found"
1989,"P07437",,"","",""
1989,"P07451",,"","",""
1989,"P07477",,"","","no valid path was found"
1989,"P07478",,"","","target was not found"
1989,"P07510",,"","",""
1989,"P07550",,"","","no valid path was found"
1989,"P07686",,"","","no valid path was found"
1989,"P07711",,"","","no valid path was found"
1989,"P07766",,"","",""
1989,"P07814",,"","","no valid path was found"
1989,"P07858",,"","",""
1989,"P07864",,"","","no valid path was found"
1989,"P07900",,"","",""
1989,"P07947",,"","",""
1989,"P07948",,"","",""
1989,"P07949",,"","",""
1989,"P07998",,"","","no valid path was found"
1989,"P08047",,"","",""
1989,"P08069",,"","",""
1989,"P08107",,"","",""
1989,"P08123",,"","",""
1989,"P08138",,"","",""
1989,"P08151",,"","","no valid path was found"
1989,"P08172",,"","",""
1989,"P08173",,"","","target was not found"
1989,"P08183",,"","",""
1989,"P08185",,"","",""
1989,"P08217",,"","","target was not found"
1989,"P08218",,"","","target was not found"
1989,"P08235",,"","",""
1989,"P08236",,"","","no valid path was found"
1989,"P08237",,"","","no valid path was found"
1989,"P08238",,"","",""
1989,"P08243",,"","",""
1989,"P08246",,"","",""
1989,"P08253",,"","","no valid path was found"
1989,"P08254",,"","",""
1989,"P08263",,"","",""
1989,"P08311",,"","","no valid path was found"
1989,"P08319",,"","",""
1989,"P08473",,"","","no valid path was found"
1989,"P08514",,"","","no valid path was found"
1989,"P08559",,"","","no valid path was found"
1989,"P08575",,"","",""
1989,"P08581",,"","",""
1989,"P08588",,"","",""
1989,"P08603",,"","","no valid path was found"
1989,"P08631",,"","","no valid path was found"
1989,"P08648",,"","","no valid path was found"
1989,"P08684",,"","","no valid path was found"
1989,"P08686",,"","",""
1989,"P08709",,"","",""
1989,"P08754",,"","","no valid path was found"
1989,"P08833",,"","",""
1989,"P08842",,"","",""
1989,"P08861",,"","","target was not found"
1989,"P08865",,"","",""
1989,"P08908",,"","","no valid path was found"
1989,"P08912",,"","",""
1989,"P08913",,"","",""
1989,"P08922",,"","",""
1989,"P09038",,"","","no valid path was found"
1989,"P09093",,"","","target was not found"
1989,"P09104",,"","","target was not found"
1989,"P09172",,"","",""
1989,"P09210",,"","",""
1989,"P09211",,"","",""
1989,"P09237",,"","","no valid path was found"
1989,"P09238",,"","","no valid path was found"
1989,"P09382",,"","","no valid path was found"
1989,"P09417",,"","","no valid path was found"
1989,"P09455",,"","","no valid path was found"
1989,"P09467",,"","",""
1989,"P09471",,"","",""
1989,"P09488",,"","",""
1989,"P09601",,"","",""
1989,"P09619",,"","",""
1989,"P09668",,"","","no valid path was found"
1989,"P09681",,"","","no valid path was found"
1989,"P09769",,"","",""
1989,"P09848",,"","","no valid path was found"
1989,"P09871",,"","","target was not found"
1989,"P09874",,"","",""
1989,"P09884",,"","","no valid path was found"
1989,"P09917",,"","",""
1989,"P09923",,"","",""
1989,"P09936",,"","","no valid path was found"
1989,"P09958",,"","","no valid path was found"
1989,"P09960",,"","",""
1989,"P0C1S8",,"","","target was not found"
1989,"P0C264",,"","","target was not found"
1989,"P0C869",,"","","target was not found"
1989,"P0CG29",,"","","target was not found"
1989,"P10070",,"","","no valid path was found"
1989,"P10144",,"","","no valid path was found"
1989,"P10145",,"","","target was not found"
1989,"P10153",,"","","no valid path was found"
1989,"P10253",,"","","no valid path was found"
1989,"P10275",,"","",""
1989,"P10276",,"","",""
1989,"P10323",,"","","no valid path was found"
1989,"P10398",,"","",""
1989,"P10415",,"","",""
1989,"P10586",,"","",""
1989,"P10619",,"","","target was not found"
1989,"P10632",,"","",""
1989,"P10635",,"","",""
1989,"P10644",,"","",""
1989,"P10696",,"","",""
1989,"P10721",,"","",""
1989,"P10745",,"","","no valid path was found"
1989,"P10746",,"","","no valid path was found"
1989,"P10747",,"","","no valid path was found"
1989,"P10809",,"","",""
1989,"P10826",,"","","target was not found"
1989,"P10827",,"","","target was not found"
1989,"P10828",,"","",""
1989,"P10912",,"","",""
1989,"P11086",,"","","no valid path was found"
1989,"P11150",,"","",""
1989,"P11166",,"","","no valid path was found"
1989,"P11168",,"","","no valid path was found"
1989,"P11169",,"","",""
1989,"P11172",,"","","target was not found"
1989,"P11177",,"","",""
1989,"P11215",,"","","no valid path was found"
1989,"P11216",,"","",""
1989,"P11217",,"","",""
1989,"P11229",,"","",""
1989,"P11230",,"","","no valid path was found"
1989,"P11245",,"","",""
1989,"P11274",,"","","no valid path was found"
1989,"P11309",,"","","no valid path was found"
1989,"P11362",,"","",""
1989,"P11387",,"","",""
1989,"P11388",,"","","target was not found"
1989,"P11413",,"","",""
1989,"P11473",,"","",""
1989,"P11474",,"","",""
1989,"P11509",,"","",""
1989,"P11511",,"","",""
1989,"P11586",,"","","no valid path was found"
1989,"P11597",,"","","no valid path was found"
1989,"P11678",,"","","no valid path was found"
1989,"P11712",,"","","no valid path was found"
1989,"P11717",,"","",""
1989,"P11766",,"","","no valid path was found"
1989,"P11802",,"","",""
1989,"P11836",,"","","no valid path was found"
1989,"P11926",,"","",""
1989,"P12081",,"","",""
1989,"P12104",,"","","no valid path was found"
1989,"P12235",,"","","no valid path was found"
1989,"P12259",,"","","no valid path was found"
1989,"P12268",,"","",""
1989,"P12277",,"","","no valid path was found"
1989,"P12314",,"","",""
1989,"P12318",,"","","target was not found"
1989,"P12319",,"","","no valid path was found"
1989,"P12544",,"","","no valid path was found"
1989,"P12644",,"","",""
1989,"P12821",,"","",""
1989,"P12931",,"","",""
1989,"P12955",,"","",""
1989,"P13051",,"","",""
1989,"P13196",,"","",""
1989,"P13497",,"","","target was not found"
1989,"P13569",,"","",""
1989,"P13612",,"","","no valid path was found"
1989,"P13631",,"","",""
1989,"P13637",,"","",""
1989,"P13716",,"","",""
1989,"P13726",,"","","no valid path was found"
1989,"P13807",,"","",""
1989,"P13861",,"","",""
1989,"P13866",,"","","no valid path was found"
1989,"P13929",,"","","no valid path was found"
1989,"P13945",,"","",""
1989,"P14060",,"","",""
1989,"P14061",,"","",""
1989,"P14091",,"","","no valid path was found"
1989,"P14151",,"","",""
1989,"P14174",,"","","no valid path was found"
1989,"P14207",,"","","target was not found"
1989,"P14210",,"","","no valid path was found"
1989,"P14222",,"","",""
1989,"P14314",,"","","no valid path was found"
1989,"P14324",,"","","target was not found"
1989,"P14384",,"","","target was not found"
1989,"P14410",,"","",""
1989,"P14415",,"","",""
1989,"P14416",,"","",""
1989,"P14550",,"","","target was not found"
1989,"P14555",,"","","no valid path was found"
1989,"P14616",,"","",""
1989,"P14618",,"","",""
1989,"P14625",,"","","target was not found"
1989,"P14635",,"","",""
1989,"P14672",,"","",""
1989,"P14679",,"","","no valid path was found"
1989,"P14778",,"","","no valid path was found"
1989,"P14780",,"","",""
1989,"P14784",,"","",""
1989,"P14867",,"","",""
1989,"P14902",,"","",""
1989,"P14920",,"","",""
1989,"P15056",,"","",""
1989,"P15085",,"","","no valid path was found"
1989,"P15086",,"","","target was not found"
1989,"P15088",,"","","no valid path was found"
1989,"P15090",,"","",""
1989,"P15104",,"","",""
1989,"P15121",,"","",""
1989,"P15144",,"","","no valid path was found"
1989,"P15153",,"","","no valid path was found"
1989,"P15169",,"","","no valid path was found"
1989,"P15260",,"","","no valid path was found"
1989,"P15289",,"","","no valid path was found"
1989,"P15291",,"","",""
1989,"P15309",,"","",""
1989,"P15313",,"","",""
1989,"P15328",,"","","no valid path was found"
1989,"P15374",,"","","no valid path was found"
1989,"P15382",,"","",""
1989,"P15509",,"","","no valid path was found"
1989,"P15514",,"","",""
1989,"P15531",,"","","no valid path was found"
1989,"P15538",,"","",""
1989,"P15559",,"","",""
1989,"P15692",,"","",""
1989,"P15735",,"","",""
1989,"P15822",,"","","no valid path was found"
1989,"P15848",,"","",""
1989,"P16050",,"","",""
1989,"P16066",,"","","no valid path was found"
1989,"P16083",,"","","target was not found"
1989,"P16109",,"","",""
1989,"P16112",,"","",""
1989,"P16152",,"","",""
1989,"P16220",,"","",""
1989,"P16233",,"","",""
1989,"P16234",,"","","no valid path was found"
1989,"P16278",,"","","target was not found"
1989,"P16298",,"","","no valid path was found"
1989,"P16333",,"","","no valid path was found"
1989,"P16389",,"","",""
1989,"P16444",,"","","no valid path was found"
1989,"P16455",,"","",""
1989,"P16471",,"","",""
1989,"P16473",,"","",""
1989,"P16499",,"","",""
1989,"P16519",,"","",""
1989,"P16581",,"","","target was not found"
1989,"P16591",,"","",""
1989,"P16615",,"","","target was not found"
1989,"P16662",,"","","no valid path was found"
1989,"P16885",,"","",""
1989,"P17050",,"","","target was not found"
1989,"P17181",,"","",""
1989,"P17252",,"","",""
1989,"P17301",,"","","no valid path was found"
1989,"P17342",,"","","no valid path was found"
1989,"P17405",,"","",""
1989,"P17516",,"","",""
1989,"P17538",,"","","target was not found"
1989,"P17568",,"","","no valid path was found"
1989,"P17612",,"","",""
1989,"P17655",,"","","no valid path was found"
1989,"P17658",,"","",""
1989,"P17706",,"","",""
1989,"P17707",,"","","no valid path was found"
1989,"P17735",,"","","target was not found"
1989,"P17752",,"","","no valid path was found"
1989,"P17787",,"","",""
1989,"P17858",,"","","no valid path was found"
1989,"P17931",,"","","no valid path was found"
1989,"P17936",,"","",""
1989,"P17948",,"","",""
1989,"P18031",,"","",""
1989,"P18054",,"","","no valid path was found"
1989,"P18065",,"","",""
1989,"P18084",,"","","no valid path was found"
1989,"P18089",,"","","target was not found"
1989,"P18405",,"","",""
1989,"P18433",,"","",""
1989,"P18440",,"","","no valid path was found"
1989,"P18505",,"","","no valid path was found"
1989,"P18507",,"","",""
1989,"P18509",,"","",""
1989,"P18545",,"","",""
1989,"P18564",,"","","no valid path was found"
1989,"P18825",,"","","target was not found"
1989,"P18846",,"","",""
1989,"P18858",,"","","no valid path was found"
1989,"P19021",,"","",""
1989,"P19099",,"","",""
1989,"P19174",,"","",""
1989,"P19235",,"","",""
1989,"P19256",,"","","target was not found"
1989,"P19320",,"","",""
1989,"P19367",,"","",""
1989,"P19419",,"","",""
1989,"P19438",,"","",""
1989,"P19440",,"","","no valid path was found"
1989,"P19525",,"","","no valid path was found"
1989,"P19623",,"","","no valid path was found"
1989,"P19634",,"","","no valid path was found"
1989,"P19652",,"","","no valid path was found"
1989,"P19784",,"","","target was not found"
1989,"P19793",,"","",""
1989,"P19801",,"","","no valid path was found"
1989,"P19835",,"","",""
1989,"P19838",,"","",""
1989,"P19961",,"","",""
1989,"P19971",,"","","no valid path was found"
1989,"P20138",,"","","no valid path was found"
1989,"P20142",,"","","no valid path was found"
1989,"P20151",,"","","no valid path was found"
1989,"P20248",,"","","target was not found"
1989,"P20264",,"","","no valid path was found"
1989,"P20265",,"","","no valid path was found"
1989,"P20273",,"","","no valid path was found"
1989,"P20292",,"","","target was not found"
1989,"P20309",,"","",""
1989,"P20594",,"","","no valid path was found"
1989,"P20618",,"","",""
1989,"P20645",,"","","no valid path was found"
1989,"P20648",,"","",""
1989,"P20701",,"","","no valid path was found"
1989,"P20702",,"","","no valid path was found"
1989,"P20711",,"","",""
1989,"P20794",,"","","no valid path was found"
1989,"P20813",,"","",""
1989,"P20815",,"","",""
1989,"P20839",,"","","target was not found"
1989,"P20916",,"","","no valid path was found"
1989,"P21127",,"","","target was not found"
1989,"P21217",,"","",""
1989,"P21266",,"","","no valid path was found"
1989,"P21281",,"","",""
1989,"P21397",,"","",""
1989,"P21452",,"","",""
1989,"P21453",,"","",""
1989,"P21462",,"","","target was not found"
1989,"P21554",,"","",""
1989,"P21579",,"","","no valid path was found"
1989,"P21589",,"","",""
1989,"P21673",,"","","no valid path was found"
1989,"P21709",,"","","no valid path was found"
1989,"P21728",,"","","no valid path was found"
1989,"P21730",,"","","target was not found"
1989,"P21731",,"","",""
1989,"P21757",,"","","no valid path was found"
1989,"P21802",,"","",""
1989,"P21817",,"","","no valid path was found"
1989,"P21860",,"","","no valid path was found"
1989,"P21917",,"","","target was not found"
1989,"P21918",,"","","no valid path was found"
1989,"P21964",,"","","target was not found"
1989,"P21980",,"","","no valid path was found"
1989,"P22001",,"","",""
1989,"P22061",,"","","no valid path was found"
1989,"P22079",,"","",""
1989,"P22083",,"","",""
1989,"P22102",,"","","no valid path was found"
1989,"P22234",,"","","no valid path was found"
1989,"P22303",,"","",""
1989,"P22307",,"","","no valid path was found"
1989,"P22310",,"","",""
1989,"P22314",,"","",""
1989,"P22392",,"","","no valid path was found"
1989,"P22413",,"","",""
1989,"P22455",,"","",""
1989,"P22459",,"","",""
1989,"P22460",,"","","no valid path was found"
1989,"P22607",,"","",""
1989,"P22612",,"","",""
1989,"P22680",,"","",""
1989,"P22692",,"","",""
1989,"P22694",,"","",""
1989,"P22732",,"","","target was not found"
1989,"P22735",,"","",""
1989,"P22748",,"","",""
1989,"P22792",,"","","no valid path was found"
1989,"P22888",,"","",""
1989,"P22894",,"","","no valid path was found"
1989,"P23109",,"","",""
1989,"P23141",,"","",""
1989,"P23219",,"","",""
1989,"P23229",,"","",""
1989,"P23280",,"","",""
1989,"P23284",,"","","no valid path was found"
1989,"P23415",,"","","no valid path was found"
1989,"P23416",,"","","no valid path was found"
1989,"P23443",,"","",""
1989,"P23458",,"","","target was not found"
1989,"P23467",,"","","target was not found"
1989,"P23469",,"","","no valid path was found"
1989,"P23470",,"","",""
